id_transaccion,id_cliente_origen,id_cliente_destino,tipo_transaccion,monto,fecha_hora,etiqueta_lavado,nombre_cliente,ocupacion,cluster_comportamiento,sospechoso_ml
TX-0019303,CLI-02990,SISTEMA,DEPOSITO_EFECTIVO,26098.23,2026-05-16 19:46:22,0,Genaro Esteban Hernádez,Empresario / Comerciante,4,1
TX-0025841,CLI-03986,SISTEMA,DEPOSITO_EFECTIVO,14107.78,2026-05-16 22:28:22,0,Noelia Micaela Rosario,Empresario / Comerciante,4,1
TX-0016786,CLI-02601,SISTEMA,DEPOSITO_EFECTIVO,32269.1,2026-05-17 00:32:22,0,Eloisa Rosa Villaseñor Prado,Empresario / Comerciante,4,1
TX-0021524,CLI-03328,SISTEMA,DEPOSITO_EFECTIVO,24566.68,2026-05-17 03:14:22,0,Cristobal Jorge Quezada,Empresario / Comerciante,4,1
TX-0017016,CLI-02636,SISTEMA,DEPOSITO_EFECTIVO,19362.24,2026-05-17 03:40:22,0,José Luis Fernando Feliciano Puga,Empresario / Comerciante,4,1
TX-0020031,CLI-03105,SISTEMA,DEPOSITO_EFECTIVO,27133.51,2026-05-17 04:04:22,0,Evelio Pascual Sandoval Trejo,Empresario / Comerciante,4,1
TX-0002340,CLI-00356,SISTEMA,DEPOSITO_EFECTIVO,18108.04,2026-05-17 05:12:22,0,María Eugenia Mitzy Samaniego,Empresario / Comerciante,4,1
TX-0008845,CLI-01358,SISTEMA,DEPOSITO_EFECTIVO,34329.13,2026-05-17 06:24:22,0,Srita. Elena Parra,Empresario / Comerciante,4,1
TX-0019966,CLI-03096,SISTEMA,DEPOSITO_EFECTIVO,4803.75,2026-05-17 11:11:22,0,Srita. Abril Peres,Empresario / Comerciante,4,1
TX-0024378,CLI-03763,SISTEMA,DEPOSITO_EFECTIVO,16528.92,2026-05-17 12:11:22,0,Mariano Munguía Valle,Empresario / Comerciante,4,1
TX-0024810,CLI-03831,SISTEMA,DEPOSITO_EFECTIVO,15916.12,2026-05-17 14:26:22,0,Sr. Leonardo Pedroza,Empresario / Comerciante,4,1
TX-0011868,CLI-01828,SISTEMA,DEPOSITO_EFECTIVO,29782.58,2026-05-17 16:42:22,0,José Carlos Alberto Loera,Empresario / Comerciante,4,1
TX-0022505,CLI-03477,SISTEMA,DEPOSITO_EFECTIVO,32840.55,2026-05-17 18:02:22,0,Esperanza Zaragoza Mayorga,Empresario / Comerciante,4,1
TX-0009197,CLI-01413,SISTEMA,DEPOSITO_EFECTIVO,4281.23,2026-05-17 18:07:22,0,Elvira Natalia Guerra Orellana,Empresario / Comerciante,4,1
TX-0023207,CLI-03585,SISTEMA,DEPOSITO_EFECTIVO,11810.09,2026-05-17 18:47:22,0,Victoria Nelly Sevilla,Empresario / Comerciante,4,1
TX-0024959,CLI-03852,SISTEMA,DEPOSITO_EFECTIVO,6360.13,2026-05-17 21:17:22,0,Sr. Miguel Ángel Valentín,Empresario / Comerciante,4,1
TX-0022760,CLI-03518,SISTEMA,DEPOSITO_EFECTIVO,19455.36,2026-05-17 22:16:22,0,Ana María Mónica Cuellar,Empresario / Comerciante,4,1
TX-0011754,CLI-01814,SISTEMA,DEPOSITO_EFECTIVO,7275.92,2026-05-17 23:36:22,0,Abril Gurule,Empresario / Comerciante,4,1
TX-0000206,CLI-00030,SISTEMA,DEPOSITO_EFECTIVO,7796.64,2026-05-18 00:33:22,0,Fabiola Graciela Ramón Mares,Empresario / Comerciante,4,1
TX-0017838,CLI-02761,SISTEMA,DEPOSITO_EFECTIVO,6822.57,2026-05-18 01:10:22,0,Silvia Estrada Esquivel,Empresario / Comerciante,4,1
TX-0006826,CLI-01052,SISTEMA,DEPOSITO_EFECTIVO,2382.5,2026-05-18 02:11:22,0,Ruby Alba,Empresario / Comerciante,4,1
TX-0018708,CLI-02894,SISTEMA,DEPOSITO_EFECTIVO,14780.72,2026-05-18 03:34:22,0,Rubén Casillas Uribe,Empresario / Comerciante,4,1
TX-0003694,CLI-00558,SISTEMA,DEPOSITO_EFECTIVO,19589.0,2026-05-18 03:52:22,0,Alberto Óliver Vigil,Empresario / Comerciante,4,1
TX-0017216,CLI-02668,SISTEMA,DEPOSITO_EFECTIVO,2822.54,2026-05-18 04:21:22,0,Rolando Gamez,Empresario / Comerciante,4,1
TX-0018063,CLI-02795,SISTEMA,DEPOSITO_EFECTIVO,36908.05,2026-05-18 05:22:22,0,Mauro Jos Nava,Empresario / Comerciante,4,1
TX-0002549,CLI-00385,SISTEMA,DEPOSITO_EFECTIVO,30704.6,2026-05-18 06:08:22,0,Ruby Noriega Zambrano,Empresario / Comerciante,4,1
TX-0000343,CLI-00052,SISTEMA,DEPOSITO_EFECTIVO,45620.46,2026-05-18 07:45:22,0,Marcela Nájera,Empresario / Comerciante,4,1
TX-0030176,CLI-04649,SISTEMA,DEPOSITO_EFECTIVO,9574.93,2026-05-18 07:53:22,0,Manuel Esquivel Laboy,Empresario / Comerciante,4,1
TX-0023290,CLI-03598,SISTEMA,DEPOSITO_EFECTIVO,19635.69,2026-05-18 10:33:22,0,Zoé Casas Covarrubias,Empresario / Comerciante,4,1
TX-0020573,CLI-03188,SISTEMA,DEPOSITO_EFECTIVO,11473.36,2026-05-18 11:27:22,0,Bernardo Arriaga Sáenz,Empresario / Comerciante,4,1
TX-0018118,CLI-02803,SISTEMA,DEPOSITO_EFECTIVO,4902.89,2026-05-18 17:15:22,0,Virginia Varela,Empresario / Comerciante,4,1
TX-0009254,CLI-01422,SISTEMA,DEPOSITO_EFECTIVO,39811.42,2026-05-18 17:21:22,0,Olga Alarcón,Empresario / Comerciante,4,1
TX-0017217,CLI-02668,SISTEMA,DEPOSITO_EFECTIVO,13941.61,2026-05-18 18:27:22,0,Rolando Gamez,Empresario / Comerciante,4,1
TX-0011862,CLI-01828,SISTEMA,DEPOSITO_EFECTIVO,6047.44,2026-05-18 18:28:22,0,José Carlos Alberto Loera,Empresario / Comerciante,4,1
TX-0021911,CLI-03386,SISTEMA,DEPOSITO_EFECTIVO,23255.6,2026-05-18 22:07:22,0,Amelia Yolanda Paredes Tapia,Empresario / Comerciante,4,1
TX-0028637,CLI-04408,SISTEMA,DEPOSITO_EFECTIVO,2250.39,2026-05-18 23:51:22,0,Israel Mondragón,Empresario / Comerciante,4,1
TX-0018406,CLI-02849,SISTEMA,DEPOSITO_EFECTIVO,35078.34,2026-05-19 01:12:22,0,Cornelio Cristobal Marroquín Serrano,Empresario / Comerciante,4,1
TX-0020166,CLI-03127,SISTEMA,DEPOSITO_EFECTIVO,16608.19,2026-05-19 02:21:22,0,Dr. Martín Sanabria,Empresario / Comerciante,4,1
TX-0020576,CLI-03188,SISTEMA,DEPOSITO_EFECTIVO,812.7,2026-05-19 02:28:22,0,Bernardo Arriaga Sáenz,Empresario / Comerciante,4,1
TX-0013678,CLI-02120,SISTEMA,DEPOSITO_EFECTIVO,20846.77,2026-05-19 07:18:22,0,Socorro Irizarry,Empresario / Comerciante,4,1
TX-0016338,CLI-02529,SISTEMA,DEPOSITO_EFECTIVO,2284.4,2026-05-19 07:42:22,0,Dr. Humberto Meza,Empresario / Comerciante,4,1
TX-0014591,CLI-02263,SISTEMA,DEPOSITO_EFECTIVO,21964.69,2026-05-19 08:37:22,0,Jerónimo Holguín,Empresario / Comerciante,4,1
TX-0025287,CLI-03902,SISTEMA,DEPOSITO_EFECTIVO,12712.76,2026-05-19 08:56:22,0,Antonia Débora Zayas Ríos,Empresario / Comerciante,4,1
TX-0008348,CLI-01285,SISTEMA,DEPOSITO_EFECTIVO,29030.92,2026-05-19 09:26:22,0,Lic. Miguel Ángel Mota,Empresario / Comerciante,4,1
TX-0018512,CLI-02863,SISTEMA,DEPOSITO_EFECTIVO,22913.92,2026-05-19 11:07:22,0,René Salgado Amaya,Empresario / Comerciante,4,1
TX-0009800,CLI-01504,SISTEMA,DEPOSITO_EFECTIVO,20082.46,2026-05-19 11:38:22,0,Aurelio Tomás Hernández,Empresario / Comerciante,4,1
TX-0027772,CLI-04278,SISTEMA,DEPOSITO_EFECTIVO,17705.0,2026-05-19 13:45:22,0,Sr. Daniel Armas,Empresario / Comerciante,4,1
TX-0026821,CLI-04131,SISTEMA,DEPOSITO_EFECTIVO,34807.43,2026-05-19 13:53:22,0,Pablo Luis Miguel Mena,Empresario / Comerciante,4,1
TX-0021974,CLI-03395,SISTEMA,DEPOSITO_EFECTIVO,23602.52,2026-05-19 16:00:22,0,Eduardo Samuel Orozco,Empresario / Comerciante,4,1
TX-0015938,CLI-02467,SISTEMA,DEPOSITO_EFECTIVO,425.4,2026-05-19 17:31:22,0,Aldo Valdez,Empresario / Comerciante,4,1
TX-0031509,CLI-04847,SISTEMA,DEPOSITO_EFECTIVO,4289.86,2026-05-19 17:46:22,0,Santiago Miguel Ángel Dávila,Empresario / Comerciante,4,1
TX-0001937,CLI-00290,SISTEMA,DEPOSITO_EFECTIVO,10240.93,2026-05-19 19:51:22,0,Homero Modesto Concepción Morales,Empresario / Comerciante,4,1
TX-0006101,CLI-00940,SISTEMA,DEPOSITO_EFECTIVO,25021.59,2026-05-19 23:33:22,0,Ing. Eugenio Leiva,Empresario / Comerciante,4,1
TX-0028616,CLI-04405,SISTEMA,DEPOSITO_EFECTIVO,17178.37,2026-05-20 02:21:22,0,Wendolin Camila Calvillo Muñoz,Empresario / Comerciante,4,1
TX-0009584,CLI-01474,SISTEMA,DEPOSITO_EFECTIVO,9259.66,2026-05-20 02:55:22,0,Ana Luisa Loera Valverde,Empresario / Comerciante,4,1
TX-0025920,CLI-03998,SISTEMA,DEPOSITO_EFECTIVO,11591.66,2026-05-20 04:03:22,0,Ing. Rocío Gallardo,Empresario / Comerciante,4,1
TX-0023907,CLI-03693,SISTEMA,DEPOSITO_EFECTIVO,7062.17,2026-05-20 04:45:22,0,Mitzy Rocha,Empresario / Comerciante,4,1
TX-0028272,CLI-04351,SISTEMA,DEPOSITO_EFECTIVO,8810.85,2026-05-20 04:58:22,0,Luis Manuel Oswaldo Pelayo Barrientos,Empresario / Comerciante,4,1
TX-0007257,CLI-01121,SISTEMA,DEPOSITO_EFECTIVO,11370.7,2026-05-20 07:54:22,0,Luz Escobar Ruiz,Profesionista Independiente,4,1
TX-0018710,CLI-02894,SISTEMA,DEPOSITO_EFECTIVO,22630.23,2026-05-20 08:05:22,0,Rubén Casillas Uribe,Empresario / Comerciante,4,1
TX-0016962,CLI-02628,SISTEMA,DEPOSITO_EFECTIVO,17185.25,2026-05-20 08:43:22,0,Ing. Aurelio Gaitán,Empresario / Comerciante,4,1
TX-0019886,CLI-03083,SISTEMA,DEPOSITO_EFECTIVO,7224.5,2026-05-20 09:32:22,0,Alvaro Octavio Quesada Valdez,Empresario / Comerciante,4,1
TX-0019021,CLI-02943,SISTEMA,DEPOSITO_EFECTIVO,15914.31,2026-05-20 09:34:22,0,Silvano Lorenzo Noriega,Empresario / Comerciante,4,1
TX-0000073,CLI-00011,SISTEMA,DEPOSITO_EFECTIVO,7760.18,2026-05-20 10:42:22,0,Abigail Ruby del Valle,Empresario / Comerciante,4,1
TX-0011879,CLI-01830,SISTEMA,DEPOSITO_EFECTIVO,5296.38,2026-05-20 11:14:22,0,María del Carmen Karla Fernández,Empresario / Comerciante,4,1
TX-0028029,CLI-04316,SISTEMA,DEPOSITO_EFECTIVO,16284.73,2026-05-20 14:04:22,0,Mario Quesada,Profesionista Independiente,4,1
TX-0027151,CLI-04184,SISTEMA,DEPOSITO_EFECTIVO,5976.84,2026-05-20 14:53:22,0,David José Eduardo Tamayo,Empresario / Comerciante,4,1
TX-0016958,CLI-02628,SISTEMA,DEPOSITO_EFECTIVO,1798.23,2026-05-20 17:45:22,0,Ing. Aurelio Gaitán,Empresario / Comerciante,4,1
TX-0025930,CLI-03999,SISTEMA,DEPOSITO_EFECTIVO,38727.27,2026-05-20 18:41:22,0,Benito Nieves Jáquez,Empresario / Comerciante,4,1
TX-0013777,CLI-02136,SISTEMA,DEPOSITO_EFECTIVO,26906.99,2026-05-20 21:05:22,0,Reynaldo Altamirano,Empresario / Comerciante,4,1
TX-0002623,CLI-00398,SISTEMA,DEPOSITO_EFECTIVO,29961.58,2026-05-20 22:08:22,0,Daniel Aurelio Mondragón García,Empresario / Comerciante,4,1
TX-0000347,CLI-00053,SISTEMA,DEPOSITO_EFECTIVO,16539.65,2026-05-20 22:12:22,0,Beatriz Cornejo,Empresario / Comerciante,4,1
TX-0011617,CLI-01791,SISTEMA,DEPOSITO_EFECTIVO,2570.96,2026-05-21 00:30:22,0,Yeni Mariana Lovato Menéndez,Empresario / Comerciante,4,1
TX-0023806,CLI-03679,SISTEMA,DEPOSITO_EFECTIVO,24440.1,2026-05-21 05:19:22,0,Serafín Raúl Loera,Empresario / Comerciante,4,1
TX-0008862,CLI-01361,SISTEMA,DEPOSITO_EFECTIVO,16372.19,2026-05-21 06:53:22,0,Dra. Socorro Tijerina,Empresario / Comerciante,4,1
TX-0022198,CLI-03434,SISTEMA,DEPOSITO_EFECTIVO,23585.74,2026-05-21 09:25:22,0,Lic. Mauricio Esparza,Empresario / Comerciante,4,1
TX-0013107,CLI-02027,SISTEMA,DEPOSITO_EFECTIVO,12397.28,2026-05-21 09:57:22,0,Ing. Ruby Arreola,Empresario / Comerciante,4,1
TX-0023714,CLI-03666,SISTEMA,DEPOSITO_EFECTIVO,18046.58,2026-05-21 10:37:22,0,Iván Palomo Gamez,Empresario / Comerciante,4,1
TX-0031874,CLI-04898,SISTEMA,DEPOSITO_EFECTIVO,10972.91,2026-05-21 12:41:22,0,Aurora Sessa Alemán,Empresario / Comerciante,4,1
TX-0001177,CLI-00177,SISTEMA,DEPOSITO_EFECTIVO,30396.52,2026-05-21 13:44:22,0,Srita. Clara Tapia,Empresario / Comerciante,4,1
TX-0013293,CLI-02057,SISTEMA,DEPOSITO_EFECTIVO,1567.34,2026-05-21 15:47:22,0,Aida Ofelia Guardado Madrid,Empresario / Comerciante,4,1
TX-0003228,CLI-00489,SISTEMA,DEPOSITO_EFECTIVO,10937.21,2026-05-21 16:09:22,0,Olga Santillán,Empresario / Comerciante,4,1
TX-0015197,CLI-02353,SISTEMA,DEPOSITO_EFECTIVO,8387.89,2026-05-21 16:14:22,0,Sra. Fabiola Yáñez,Empresario / Comerciante,4,1
TX-0025311,CLI-03907,SISTEMA,DEPOSITO_EFECTIVO,34767.08,2026-05-21 17:17:22,0,José María Vásquez Gallardo,Empresario / Comerciante,4,1
TX-0005381,CLI-00828,SISTEMA,DEPOSITO_EFECTIVO,14189.68,2026-05-21 17:46:22,0,Srita. Catalina Abrego,Profesionista Independiente,4,1
TX-0004196,CLI-00643,SISTEMA,DEPOSITO_EFECTIVO,18677.77,2026-05-21 17:59:22,0,Wilfrido Alvaro Alejandro,Empresario / Comerciante,4,1
TX-0027338,CLI-04216,SISTEMA,DEPOSITO_EFECTIVO,26089.87,2026-05-21 18:01:22,0,Jacobo Francisco Valles,Empresario / Comerciante,4,1
TX-0028719,CLI-04421,SISTEMA,DEPOSITO_EFECTIVO,20265.98,2026-05-21 19:08:22,0,Gabriela Elisa de la O,Empresario / Comerciante,4,1
TX-0006544,CLI-01008,SISTEMA,DEPOSITO_EFECTIVO,8588.19,2026-05-21 21:27:22,0,Alfonso Saldaña,Empresario / Comerciante,4,1
TX-0002260,CLI-00341,SISTEMA,DEPOSITO_EFECTIVO,20773.89,2026-05-21 22:15:22,0,Alvaro Marcos Ramos,Empresario / Comerciante,4,1
TX-0008619,CLI-01324,SISTEMA,DEPOSITO_EFECTIVO,29417.5,2026-05-21 23:47:22,0,Zacarías Juan Carlos Viera,Empresario / Comerciante,4,1
TX-0027473,CLI-04236,SISTEMA,DEPOSITO_EFECTIVO,4542.45,2026-05-22 00:13:22,0,Itzel Camacho,Empresario / Comerciante,4,1
TX-0025794,CLI-03979,SISTEMA,DEPOSITO_EFECTIVO,28036.56,2026-05-22 01:50:22,0,Miguel Tafoya,Empresario / Comerciante,4,1
TX-0028919,CLI-04452,SISTEMA,DEPOSITO_EFECTIVO,398.43,2026-05-22 01:59:22,0,María Cristina Verdugo Rico,Empresario / Comerciante,4,1
TX-0024616,CLI-03798,SISTEMA,DEPOSITO_EFECTIVO,28383.88,2026-05-22 02:48:22,0,Serafín Aranda,Empresario / Comerciante,4,1
TX-0030685,CLI-04723,SISTEMA,DEPOSITO_EFECTIVO,1697.94,2026-05-22 03:18:22,0,Sr. Isaac Manzanares,Empresario / Comerciante,4,1
TX-0023955,CLI-03700,SISTEMA,DEPOSITO_EFECTIVO,1364.52,2026-05-22 03:24:22,0,Dr. Cornelio Rosado,Empresario / Comerciante,4,1
TX-0020933,CLI-03241,SISTEMA,DEPOSITO_EFECTIVO,3378.72,2026-05-22 05:38:22,0,Caridad Leonor Sepúlveda,Empresario / Comerciante,4,1
