id_cliente,nombre_cliente,ocupacion,ingreso_mensual_declarado,nivel_riesgo_kyc,fecha_alta_sistema
CLI-00024,Noemí Llamas Cisneros,Jubilado,16510.87,Bajo,2024-12-11
CLI-00025,Fabiola Jiménez,Profesionista Independiente,40980.85,Medio,2026-04-11
CLI-00026,Lic. Ofelia Urías,Desempleado,278.22,Alto,2025-09-12
CLI-00027,Rafaél Enrique Treviño,Desempleado,911.59,Alto,2025-12-19
CLI-00028,Noemí Dulce Villagómez,Profesionista Independiente,59334.97,Medio,2024-05-05
CLI-00029,Dra. Susana Alcala,Empleado Sector Privado,40593.96,Medio,2024-07-25
CLI-00030,Fabiola Graciela Ramón Mares,Empresario / Comerciante,105594.72,Alto,2024-07-15
CLI-00031,Dra. Olivia Sosa,Desempleado,3336.44,Alto,2025-12-17
CLI-00032,Lic. Pedro Reyes,Empleado Sector Privado,24215.97,Medio,2025-12-28
CLI-00033,Teodoro Vicente Báez,Empleado Sector Privado,34115.78,Medio,2023-11-18
CLI-00034,Dra. Irma Castillo,Desempleado,3746.62,Alto,2024-09-12
CLI-00035,Felix Jaramillo,Desempleado,285.61,Alto,2025-10-21
CLI-00036,Nayeli Feliciano,Desempleado,684.55,Alto,2024-06-13
CLI-00037,Amalia Núñez Rendón,Desempleado,979.24,Alto,2024-08-09
CLI-00038,Yeni Velázquez Leiva,Empresario / Comerciante,125891.09,Alto,2024-06-07
CLI-00039,Eric Sotelo Esparza,Desempleado,2752.65,Alto,2024-07-24
CLI-00040,Sra. Daniela Pedraza,Empleado Sector Privado,34592.27,Medio,2023-09-16
CLI-00041,Zacarías Contreras,Estudiante,3374.29,Bajo,2025-02-26
CLI-00042,Hermelinda Lerma,Estudiante,6830.27,Bajo,2025-11-01
CLI-00043,Esparta Castellanos Reyna,Empresario / Comerciante,103548.18,Alto,2024-02-06
CLI-00044,Isaac Tomás Acosta,Empleado Sector Privado,42133.49,Medio,2024-05-09
CLI-00045,Lic. Oswaldo Ruelas,Jubilado,16392.78,Bajo,2024-07-22
CLI-00046,Ing. Ramiro Tapia,Profesionista Independiente,24568.19,Medio,2025-02-16
CLI-00047,Dulce Marisol Téllez,Empresario / Comerciante,129126.38,Alto,2025-03-12
CLI-00048,Jorge Gil Guillen,Desempleado,1835.41,Alto,2025-03-22
CLI-00049,Lilia del Río,Profesionista Independiente,21283.36,Medio,2025-03-24
CLI-00050,Sr. Miguel Archuleta,Desempleado,2245.47,Alto,2025-03-21
CLI-00051,Genaro Espartaco Padilla,Profesionista Independiente,48615.62,Medio,2025-03-19
CLI-00052,Marcela Nájera,Empresario / Comerciante,229564.58,Alto,2024-01-10
CLI-00053,Beatriz Cornejo,Empresario / Comerciante,122399.29,Alto,2025-02-18
CLI-00054,Alejandro Manuel Acuña,Empleado Sector Privado,28814.37,Medio,2023-09-19
CLI-00055,Sandra Alvarado Jaime,Estudiante,6534.69,Bajo,2026-05-19
CLI-00056,Dulce Estefanía Aguirre,Estudiante,2917.05,Bajo,2024-02-24
CLI-00057,Sonia León Angulo,Empleado Sector Privado,38138.62,Medio,2024-12-01
CLI-00058,Srita. Paulina Osorio,Empresario / Comerciante,169281.81,Alto,2023-09-05
CLI-00059,Leonor Helena Báez Valencia,Empresario / Comerciante,126323.86,Alto,2024-08-07
CLI-00060,Trinidad Díaz Laureano,Empresario / Comerciante,155822.87,Alto,2025-12-13
CLI-00061,Diego Granados,Jubilado,16190.14,Bajo,2024-06-07
CLI-00062,Dra. Sessa Orozco,Estudiante,6081.7,Bajo,2025-09-01
CLI-00063,Olga Lucía Razo Razo,Estudiante,6090.26,Bajo,2025-08-19
CLI-00064,Sofía Guerrero Cardona,Jubilado,14761.41,Bajo,2024-03-25
CLI-00065,Zoé Ivonne Fuentes,Desempleado,1360.7,Alto,2024-05-07
CLI-00066,Andrea Marisol Chavarría,Profesionista Independiente,34564.44,Medio,2024-04-26
CLI-00067,Carmen Cantú Almonte,Empresario / Comerciante,50649.06,Alto,2025-10-22
CLI-00068,Dr. Daniel Grijalva,Desempleado,3503.41,Alto,2026-01-05
CLI-00069,Mónica Camila Esquivel Vallejo,Profesionista Independiente,58734.96,Medio,2024-08-09
CLI-00070,Timoteo Granado Roque,Empleado Sector Privado,28753.5,Medio,2025-11-01
CLI-00071,Rodolfo Anguiano,Estudiante,7223.11,Bajo,2026-02-07
CLI-00072,Germán Alcántar Quintero,Profesionista Independiente,52875.12,Medio,2023-12-21
CLI-00073,Wendolin Inés Bahena,Jubilado,12916.61,Bajo,2024-07-09
CLI-00074,Ing. Gilberto Jimínez,Empleado Sector Privado,24339.16,Medio,2024-06-22
CLI-00075,Clara Grijalva,Empleado Sector Privado,29799.51,Medio,2026-03-07
CLI-00076,Josefina Hermelinda Quintanilla,Jubilado,16940.42,Bajo,2026-05-01
CLI-00077,Serafín Enríquez Riojas,Jubilado,9214.03,Bajo,2025-10-21
CLI-00078,José Emilio Palomino,Estudiante,2671.21,Bajo,2024-08-27
CLI-00079,Agustín Valles,Profesionista Independiente,54542.48,Medio,2023-07-11
CLI-00080,Lic. Jonás Mejía,Profesionista Independiente,25775.35,Medio,2024-09-26
CLI-00081,Indira Villagómez,Empleado Sector Privado,40974.32,Medio,2026-01-09
CLI-00082,Vanesa Leticia Bermúdez,Estudiante,2513.92,Bajo,2025-05-20
CLI-00083,Elena Aguirre Fajardo,Empresario / Comerciante,213204.65,Alto,2025-08-04
CLI-00084,Paola Gastélum Jaime,Jubilado,14955.85,Bajo,2023-11-26
CLI-00085,Julio César Campos,Empleado Sector Privado,33771.78,Medio,2023-09-08
CLI-00086,Teresa Teresa Batista,Jubilado,7146.65,Bajo,2026-02-18
CLI-00087,Raquel Galindo,Jubilado,16341.63,Bajo,2025-03-28
CLI-00088,Gonzalo Octavio Nazario,Empresario / Comerciante,242872.58,Alto,2025-02-02
CLI-00089,Hilda Ramírez Segovia,Jubilado,14818.45,Bajo,2025-07-21
CLI-00090,Homero Gregorio Granados,Desempleado,804.6,Alto,2026-02-24
CLI-00091,María Cristina Jaqueline Prado,Profesionista Independiente,32954.65,Medio,2026-02-20
CLI-00092,Homero Balderas Ibarra,Desempleado,2599.51,Alto,2024-09-19
CLI-00093,Srita. Lourdes Villalpando,Empresario / Comerciante,229922.82,Alto,2024-12-13
CLI-00094,Juan Carlos Vela Quesada,Empresario / Comerciante,74200.84,Alto,2025-08-11
CLI-00095,Elvia Magaña Armenta,Empleado Sector Privado,14112.85,Medio,2025-06-03
CLI-00096,Raquel Pilar Ceja,Estudiante,5529.85,Bajo,2026-01-16
CLI-00097,Aldo Martín Apodaca Casanova,Empleado Sector Privado,31418.52,Medio,2024-04-19
CLI-00098,Sonia Mayte Sosa,Estudiante,2425.96,Bajo,2024-05-23
CLI-00099,Carla Hermelinda Aragón Pichardo,Desempleado,235.5,Alto,2023-09-07
CLI-00100,Porfirio Antonio Urías García,Estudiante,7432.52,Bajo,2025-12-17
CLI-00101,Rocío Quintero Apodaca,Profesionista Independiente,18188.58,Medio,2024-05-27
CLI-00102,Sr. Rubén Gurule,Empleado Sector Privado,21189.75,Medio,2024-09-10
CLI-00103,Benjamín Renato Carrasco,Empresario / Comerciante,92847.36,Alto,2025-06-29
CLI-00104,José Luis Palomino Ulibarri,Empleado Sector Privado,35870.63,Medio,2025-03-08
CLI-00105,Zeferino Reyna Ontiveros,Jubilado,12490.75,Bajo,2025-01-19
CLI-00106,Ing. Helena Nieves,Empleado Sector Privado,37892.44,Medio,2023-08-31
CLI-00107,Reina Sofía Zavala Ballesteros,Empresario / Comerciante,88081.98,Alto,2023-11-22
CLI-00108,Tomás Hugo Valencia,Estudiante,5953.9,Bajo,2024-01-16
CLI-00109,Ing. Dulce Carrasco,Profesionista Independiente,34061.04,Medio,2024-07-13
CLI-00110,Juan Carlos Alvaro Rascón Quiroz,Empresario / Comerciante,222767.35,Alto,2025-02-11
CLI-00111,Ing. Yeni Alfaro,Estudiante,6040.19,Bajo,2026-05-20
CLI-00112,Socorro Villarreal,Desempleado,393.67,Alto,2025-08-26
CLI-00113,Esther Lomeli,Empresario / Comerciante,195642.72,Alto,2023-08-29
CLI-00114,Elena Corral López,Estudiante,3491.94,Bajo,2025-06-18
CLI-00115,Esparta Juana Negrón,Empleado Sector Privado,29697.43,Medio,2024-04-15
CLI-00116,Benjamín Mariano Carmona,Empleado Sector Privado,25922.09,Medio,2023-10-12
CLI-00117,Srita. Ana Anaya,Profesionista Independiente,35818.26,Medio,2025-06-14
CLI-00118,Conchita Elena Mojica Valentín,Estudiante,4658.78,Bajo,2024-04-23
CLI-00119,Ing. Jorge Luis Urbina,Jubilado,6272.81,Bajo,2026-02-03
CLI-00120,Esmeralda Frida Vega Mata,Desempleado,3997.13,Alto,2026-04-02
CLI-00121,Leonel Rosario Saiz,Estudiante,7813.98,Bajo,2023-12-28
CLI-00122,Paola Gálvez Preciado,Empleado Sector Privado,17488.27,Medio,2025-01-26
CLI-00123,Lic. María del Carmen Vanegas,Empresario / Comerciante,146271.68,Alto,2025-06-24
CLI-00124,Bruno Zacarías Camacho Alcaraz,Empresario / Comerciante,230488.57,Alto,2025-03-15
CLI-00125,Zeferino René Lebrón Tovar,Empleado Sector Privado,24506.11,Medio,2024-05-04
CLI-00126,Amalia Sandra Ortiz,Empresario / Comerciante,103040.61,Alto,2025-09-02
CLI-00127,Pascual Ávalos Cornejo,Empresario / Comerciante,107049.85,Alto,2025-10-27
CLI-00128,Miguel Granados Segura,Desempleado,3829.27,Alto,2025-02-17
CLI-00129,Eloy Ramiro Guzmán,Jubilado,13604.33,Bajo,2024-02-24
CLI-00130,Minerva Escobedo Arguello,Empresario / Comerciante,80959.37,Alto,2024-06-24
CLI-00131,Estela Caldera,Profesionista Independiente,24796.54,Medio,2026-03-10
CLI-00132,Miguel Ángel Vásquez Sierra,Estudiante,5475.08,Bajo,2026-05-13
CLI-00133,Jaqueline Yeni Acosta,Jubilado,5792.45,Bajo,2026-02-23
CLI-00134,Luis Miguel Zacarías Magaña,Profesionista Independiente,17572.44,Medio,2024-04-22
CLI-00135,Emiliano Santiago,Jubilado,11198.25,Bajo,2025-07-28
CLI-00136,Reynaldo Alejandro Caldera Villareal,Jubilado,7046.63,Bajo,2025-03-18
CLI-00137,Gabino Barraza Flórez,Jubilado,6041.45,Bajo,2023-08-15
CLI-00138,Benito Salinas,Empleado Sector Privado,14261.2,Medio,2024-08-19
CLI-00139,Lic. Claudia Mena,Estudiante,6051.28,Bajo,2024-10-04
CLI-00140,Wilfrido Benito Villaseñor,Empleado Sector Privado,25324.59,Medio,2024-02-16
CLI-00141,Sonia Irizarry,Jubilado,8200.8,Bajo,2023-09-10
CLI-00142,Sr. Gerónimo Flores,Jubilado,5516.64,Bajo,2025-07-24
CLI-00143,Helena Valenzuela Bravo,Estudiante,4515.35,Bajo,2025-02-04
CLI-00144,Nelly Olivia de la Fuente,Jubilado,12347.95,Bajo,2026-05-23
CLI-00145,Estela Sierra,Profesionista Independiente,57061.78,Medio,2023-09-03
CLI-00146,Lorena Rebeca Solorzano Bahena,Empleado Sector Privado,34100.96,Medio,2023-08-26
CLI-00147,Dra. Norma Sanches,Profesionista Independiente,25740.87,Medio,2023-08-23
CLI-00148,Pamela Ulloa Yáñez,Empresario / Comerciante,76175.66,Alto,2026-02-21
CLI-00149,José Carlos Espinosa,Desempleado,1199.99,Alto,2025-09-03
CLI-00150,Dra. Minerva Enríquez,Profesionista Independiente,56805.82,Medio,2023-08-23
CLI-00151,Adela Georgina Curiel,Estudiante,2055.89,Bajo,2024-08-09
CLI-00152,Jesús Renato Alonso Casillas,Jubilado,17979.91,Bajo,2024-10-07
CLI-00153,Marcela Fabiola Huerta,Estudiante,2439.56,Bajo,2026-05-05
CLI-00154,Lic. Eduardo Griego,Empleado Sector Privado,28694.19,Medio,2025-09-15
CLI-00155,Leonel José Carlos Ríos,Empleado Sector Privado,42797.56,Medio,2026-01-29
CLI-00156,Rosario Pilar Saldaña,Estudiante,7275.62,Bajo,2023-11-25
CLI-00157,Perla Luevano Becerra,Profesionista Independiente,27824.43,Medio,2025-09-21
CLI-00158,Srita. Camila Pedraza,Empresario / Comerciante,216748.99,Alto,2025-03-25
CLI-00159,Serafín Luis Manuel Terán,Desempleado,1210.07,Alto,2025-01-28
CLI-00160,Wilfrido Víctor Bravo Saiz,Desempleado,2115.76,Alto,2025-08-06
CLI-00161,Natividad Solorio Noriega,Desempleado,3268.42,Alto,2024-09-24
CLI-00162,Jerónimo Ramón Chavarría Rentería,Profesionista Independiente,56929.02,Medio,2025-06-26
CLI-00163,Ruby Socorro Contreras,Estudiante,7633.58,Bajo,2024-12-19
CLI-00164,Ángel Eloy Moreno,Empleado Sector Privado,20727.38,Medio,2026-04-16
CLI-00165,José Carlos Armando Olivas,Estudiante,6454.5,Bajo,2024-07-15
CLI-00166,Rebeca Eloisa Barrios,Empleado Sector Privado,20987.49,Medio,2024-02-01
CLI-00167,Vicente Treviño Pulido,Jubilado,7738.19,Bajo,2023-10-30
CLI-00168,Eric Hernán Ordóñez,Profesionista Independiente,24161.88,Medio,2025-12-23
CLI-00169,Dra. Eva Carrero,Desempleado,3411.65,Alto,2026-02-05
CLI-00170,Luis Miguel Ramón Collado,Jubilado,11350.91,Bajo,2024-01-20
CLI-00171,Dra. Antonia Lemus,Estudiante,2553.79,Bajo,2025-06-18
CLI-00172,Dr. Germán Corral,Empresario / Comerciante,215869.62,Alto,2023-09-02
CLI-00173,María Elena Itzel Olivares,Estudiante,2021.27,Bajo,2024-08-17
CLI-00174,Dulce Cristina Moreno,Empleado Sector Privado,33024.74,Medio,2025-10-15
CLI-00175,Rodrigo Lucas Lucero,Profesionista Independiente,22271.19,Medio,2024-09-13
CLI-00176,Eloisa Balderas Castellanos,Empresario / Comerciante,160336.08,Alto,2023-08-19
CLI-00177,Srita. Clara Tapia,Empresario / Comerciante,162181.37,Alto,2026-04-01
CLI-00178,Martín Uriel Castro,Estudiante,2451.46,Bajo,2025-07-17
CLI-00179,Fidel Soto Zavala,Desempleado,3615.71,Alto,2024-07-10
CLI-00180,Esparta Andrea de Jesús,Jubilado,5468.37,Bajo,2024-04-12
CLI-00181,Magdalena Lorena Aragón,Profesionista Independiente,41212.93,Medio,2025-09-25
CLI-00182,Rebeca Llamas,Empleado Sector Privado,26182.96,Medio,2026-01-19
CLI-00183,Ing. Ernesto Barrera,Estudiante,3849.55,Bajo,2025-07-01
CLI-00184,Dr. Abelardo Rodarte,Estudiante,7393.55,Bajo,2024-12-03
CLI-00185,Josefina María Cristina Espinal Acosta,Empleado Sector Privado,34508.2,Medio,2026-05-07
CLI-00186,Pedro Óliver Delgado Vásquez,Desempleado,411.17,Alto,2026-05-14
CLI-00187,Rodolfo Quintanilla Colunga,Jubilado,16493.75,Bajo,2024-10-01
CLI-00188,Graciela Alicia Collado Villareal,Empresario / Comerciante,244767.4,Alto,2026-03-21
CLI-00189,Ramiro Gregorio Castillo Zayas,Desempleado,618.21,Alto,2025-03-30
CLI-00190,Dr. Antonio Correa,Empleado Sector Privado,40531.99,Medio,2025-05-02
CLI-00191,María Cristina Guerra,Empleado Sector Privado,41086.73,Medio,2025-09-01
CLI-00192,Dr. Jacobo Almaraz,Estudiante,3076.16,Bajo,2026-05-29
CLI-00193,Ing. María José Dueñas,Profesionista Independiente,50207.39,Medio,2025-10-02
CLI-00194,Ernesto Rufino Cabrera,Empresario / Comerciante,210447.03,Alto,2023-08-30
CLI-00195,Rosalia Carbajal Ayala,Desempleado,3243.0,Alto,2025-12-06
CLI-00196,Lic. Timoteo Martínez,Profesionista Independiente,22163.9,Medio,2023-12-26
CLI-00197,Patricio Lara Mendoza,Desempleado,432.38,Alto,2023-06-12
CLI-00198,Eric de la Fuente Garibay,Estudiante,7151.56,Bajo,2024-03-01
CLI-00199,Srita. Elvia Suárez,Empleado Sector Privado,18585.9,Medio,2025-11-28
CLI-00200,Daniel José Eduardo Murillo Grijalva,Empresario / Comerciante,119931.68,Alto,2024-05-09
CLI-00201,María Celia Bermúdez,Empleado Sector Privado,19356.48,Medio,2024-08-16
CLI-00202,Aurelio Hurtado,Desempleado,772.52,Alto,2024-04-12
CLI-00203,Jerónimo Alfredo Arriaga,Profesionista Independiente,27537.14,Medio,2025-05-10
CLI-00204,Marco Antonio Villaseñor,Estudiante,7801.33,Bajo,2024-09-19
CLI-00205,Cristina Noelia Hidalgo Santana,Profesionista Independiente,30801.58,Medio,2025-02-11
CLI-00206,Horacio Bernabé Correa Saucedo,Jubilado,10195.82,Bajo,2025-01-21
CLI-00207,Hilda Itzel Zúñiga Zamudio,Jubilado,9304.95,Bajo,2026-01-27
CLI-00208,César Adame,Estudiante,2692.05,Bajo,2025-06-07
CLI-00209,Dr. Miguel Ángel Palomino,Profesionista Independiente,23035.55,Medio,2026-01-03
CLI-00210,Ing. María Teresa Maestas,Profesionista Independiente,16721.57,Medio,2026-05-11
CLI-00211,José Emilio Barraza,Jubilado,10649.33,Bajo,2024-03-28
CLI-00212,Mateo Castañeda,Desempleado,3145.71,Alto,2024-10-05
CLI-00213,Hernán Elizondo Cotto,Empresario / Comerciante,171241.77,Alto,2026-02-07
CLI-00214,Camila Esther García,Jubilado,6503.4,Bajo,2025-01-28
CLI-00215,Jaime Padrón Bañuelos,Jubilado,7471.02,Bajo,2023-09-23
CLI-00216,Emiliano Delgado,Estudiante,6252.71,Bajo,2025-11-20
CLI-00217,José Carlos Guerra Adame,Estudiante,5119.52,Bajo,2026-05-27
CLI-00218,Fidel Cepeda,Jubilado,13929.14,Bajo,2024-04-13
CLI-00219,Mariano Zeferino Ojeda,Desempleado,2948.15,Alto,2024-10-13
CLI-00220,Zoé Ruby Berríos,Empleado Sector Privado,24019.31,Medio,2023-12-17
CLI-00221,Héctor Nava,Estudiante,7693.25,Bajo,2025-05-22
CLI-00222,Cornelio Castro Ramón,Profesionista Independiente,43041.99,Medio,2025-08-17
CLI-00223,Cristian Bermúdez,Desempleado,3392.06,Alto,2024-10-29
CLI-00224,Aurora de la O,Desempleado,3600.19,Alto,2023-07-04
CLI-00225,Vicente Guzmán,Jubilado,9020.7,Bajo,2024-12-25
CLI-00226,Eloy Ricardo Vega Soto,Empresario / Comerciante,115236.58,Alto,2023-09-08
CLI-00227,Esmeralda María Teresa Jáquez Rico,Desempleado,1182.62,Alto,2025-10-21
CLI-00228,Débora Tania León Urías,Empleado Sector Privado,18330.72,Medio,2023-07-15
CLI-00229,Amelia Beatriz Razo,Desempleado,3761.45,Alto,2025-01-03
CLI-00230,Eugenio Arroyo,Desempleado,2992.54,Alto,2025-04-02
CLI-00231,Mercedes Valentín,Empleado Sector Privado,32311.99,Medio,2023-11-02
CLI-00232,René Ulloa,Profesionista Independiente,33273.38,Medio,2023-07-15
CLI-00233,Dra. Rocío Hernández,Estudiante,3823.25,Bajo,2026-03-06
CLI-00234,Dr. Hugo Castellanos,Empleado Sector Privado,26186.31,Medio,2025-01-02
CLI-00235,Irma Córdova,Jubilado,12886.6,Bajo,2026-05-24
CLI-00236,Dra. Juana Girón,Profesionista Independiente,35924.47,Medio,2024-07-25
CLI-00237,Miriam Bustamante,Empresario / Comerciante,185125.45,Alto,2025-08-27
CLI-00238,Aldonza Orosco,Jubilado,11151.42,Bajo,2024-06-24
CLI-00239,Nicolás Jaime Jáquez,Desempleado,678.77,Alto,2023-10-10
CLI-00240,Mariano Polanco Zamora,Estudiante,3702.72,Bajo,2024-10-09
CLI-00241,Dr. Ángel Sandoval,Desempleado,2531.76,Alto,2023-12-07
CLI-00242,Emilia Susana Arenas,Profesionista Independiente,19202.42,Medio,2025-08-23
CLI-00243,Ramiro Bernabé Brito,Empleado Sector Privado,34202.26,Medio,2024-11-11
CLI-00244,Carlota Arcelia Zamudio Altamirano,Empleado Sector Privado,38616.58,Medio,2025-10-02
CLI-00245,Trinidad Irma Casares Meraz,Empleado Sector Privado,12806.04,Medio,2024-05-12
CLI-00246,Felipe Martín Bermúdez Baca,Empleado Sector Privado,44469.89,Medio,2024-07-31
CLI-00247,Agustín Miranda,Jubilado,16046.59,Bajo,2026-01-01
CLI-00248,José Adán Burgos,Estudiante,4732.5,Bajo,2025-12-08
CLI-00249,Lucía Olivas,Desempleado,2302.68,Alto,2026-01-18
CLI-00250,Ernesto Alberto Orta,Desempleado,2785.42,Alto,2026-03-24
CLI-00251,Cornelio Quiñónez,Empresario / Comerciante,129930.57,Alto,2024-08-05
CLI-00252,Olga Elena Arteaga,Empleado Sector Privado,33649.91,Medio,2025-05-05
CLI-00253,Esmeralda Nelly Alfaro Vega,Estudiante,7355.96,Bajo,2023-12-10
CLI-00254,Antonio Lozada Ávalos,Estudiante,6670.52,Bajo,2026-03-27
CLI-00255,Ing. Victoria Tovar,Empleado Sector Privado,17804.26,Medio,2025-09-17
CLI-00256,Alejandra Cervántez Curiel,Desempleado,2071.83,Alto,2023-11-03
CLI-00257,Gabriela Urrutia Gaona,Estudiante,5344.43,Bajo,2026-01-15
CLI-00258,Olivia Espinoza,Estudiante,4738.77,Bajo,2025-01-19
CLI-00259,Ana Adela Ceballos,Empresario / Comerciante,183515.55,Alto,2026-04-08
CLI-00260,Eloy Patricio Lozano Castro,Jubilado,12740.88,Bajo,2024-03-02
CLI-00261,Reina Estefanía Mireles Rocha,Empresario / Comerciante,172530.46,Alto,2024-10-31
CLI-00262,Dulce Virginia Pulido,Desempleado,3568.08,Alto,2025-08-22
CLI-00263,Ana Isabel Alba Murillo,Empresario / Comerciante,216113.83,Alto,2023-08-24
CLI-00264,Jonás Mata Ávalos,Jubilado,10796.88,Bajo,2024-05-22
CLI-00265,Alberto René Carmona,Empleado Sector Privado,36540.63,Medio,2024-05-16
CLI-00266,Soledad Solorzano,Empresario / Comerciante,140013.95,Alto,2025-06-19
CLI-00267,Esmeralda Palomo Terán,Empleado Sector Privado,39715.48,Medio,2024-08-25
CLI-00268,María Cristina Zarate Ayala,Profesionista Independiente,49461.62,Medio,2025-04-02
CLI-00269,Mariana Guillermina Juárez,Jubilado,11299.76,Bajo,2024-09-24
CLI-00270,Patricio Horacio Chavarría Ocampo,Empleado Sector Privado,21061.72,Medio,2026-04-01
CLI-00271,Octavio Gerardo Valentín,Estudiante,6281.27,Bajo,2026-01-01
CLI-00272,Vicente Quesada Mascareñas,Empleado Sector Privado,20966.6,Medio,2024-09-15
CLI-00273,Rubén Yáñez,Profesionista Independiente,55186.21,Medio,2025-07-09
CLI-00274,Dr. Uriel Alcántar,Estudiante,2830.24,Bajo,2025-12-16
CLI-00275,Emilia Carrera Gaytán,Empleado Sector Privado,24640.16,Medio,2024-10-28
CLI-00276,Alfredo Jacinto Meléndez Garibay,Empleado Sector Privado,35311.83,Medio,2024-01-20
CLI-00277,Bernardo Jaime Serrato,Estudiante,4489.21,Bajo,2025-12-28
CLI-00278,Sessa Molina Rosado,Profesionista Independiente,39417.5,Medio,2026-06-03
CLI-00279,María Elena Salinas Orosco,Empresario / Comerciante,62453.14,Alto,2025-11-21
CLI-00280,Teodoro Grijalva Contreras,Empresario / Comerciante,127895.36,Alto,2023-08-20
CLI-00281,Marcela Montoya Bernal,Jubilado,17298.81,Bajo,2024-11-24
CLI-00282,Magdalena Ruiz,Estudiante,7140.39,Bajo,2026-01-30
CLI-00283,Abel Pantoja,Jubilado,9944.95,Bajo,2024-10-28
CLI-00284,Ing. Ariadna Amador,Estudiante,7656.45,Bajo,2026-05-01
CLI-00285,Dra. Nelly Cotto,Profesionista Independiente,48906.38,Medio,2025-08-03
CLI-00286,José Emilio César Alvarado,Empresario / Comerciante,157644.11,Alto,2024-02-05
CLI-00287,María Rosa Arreola Cazares,Desempleado,2184.53,Alto,2024-05-30
CLI-00288,Estela Anel Cavazos,Jubilado,16671.55,Bajo,2025-02-23
CLI-00289,Yolanda Nelly Escalante,Empresario / Comerciante,93884.33,Alto,2024-02-05
CLI-00290,Homero Modesto Concepción Morales,Empresario / Comerciante,147128.4,Alto,2026-04-19
CLI-00291,Rebeca Ramírez,Empresario / Comerciante,117225.91,Alto,2025-11-03
CLI-00292,José Carlos Ávila,Desempleado,3192.57,Alto,2026-01-20
CLI-00293,Carlos Almanza,Desempleado,660.18,Alto,2024-10-12
CLI-00294,Diana Solorzano,Empresario / Comerciante,233908.32,Alto,2026-05-15
CLI-00295,Martha Silvia Montenegro Mora,Jubilado,11943.61,Bajo,2024-09-26
CLI-00296,Ilse Girón Cavazos,Empresario / Comerciante,168378.56,Alto,2024-10-20
CLI-00297,Lic. Francisco Tello,Desempleado,108.41,Alto,2025-04-04
CLI-00298,Pascual Claudio Roybal,Desempleado,1714.45,Alto,2023-06-23
CLI-00299,Silvano Hernán Armendáriz,Empresario / Comerciante,86345.81,Alto,2024-03-29
CLI-00300,Luis Miguel Ayala,Profesionista Independiente,32059.67,Medio,2026-03-15
CLI-00301,Zeferino Víctor Medina Viera,Empleado Sector Privado,27005.08,Medio,2024-07-07
CLI-00302,Susana Dulce María Badillo,Profesionista Independiente,49255.34,Medio,2025-10-03
CLI-00303,Concepción Griego,Empresario / Comerciante,105651.32,Alto,2025-07-17
CLI-00304,Camila Pedroza Viera,Empresario / Comerciante,100454.31,Alto,2026-04-12
CLI-00305,Rosalia Gloria Arteaga,Estudiante,4821.84,Bajo,2026-04-18
CLI-00306,Sergio Romero Tejeda,Desempleado,2157.68,Alto,2025-10-21
CLI-00307,Sr. Leonel Almanza,Profesionista Independiente,25090.0,Medio,2025-11-06
CLI-00308,Mercedes Velásquez Casanova,Estudiante,6687.4,Bajo,2024-10-03
